"original_path","current_path","sha256","action"
"人生三河-阶段7B线框包\01－建立我的护城河.svg","docs\archive\阶段7B\01－建立我的护城河.svg","B19624A16153803CAAEB4BCC0F1FEAD40458E2B67F9C39C9D9327722C05F4B3F","move; verified byte-identical"
"人生三河-阶段7B线框包\02－我的河首页.svg","docs\archive\阶段7B\02－我的河首页.svg","B3DE513E17859A8CD929D1BD346CCFA3269C6AC40EC0CF8C184F78D39F806002","move; verified byte-identical"
"人生三河-阶段7B线框包\03－未来路径列表.svg","docs\archive\阶段7B\03－未来路径列表.svg","1577178BDAE628CEA028F29062EE67FAE1477F779C13A90B4AA007382E7A7C45","move; verified byte-identical"
"人生三河-阶段7B线框包\04－路径详情.svg","docs\archive\阶段7B\04－路径详情.svg","2FB60ED13A662A8EA47CAC066EC501125E23A2D8D08B5FB31A48E8AEB40AC24D","move; verified byte-identical"
"人生三河-阶段7B线框包\05－新建或编辑路径.svg","docs\archive\阶段7B\05－新建或编辑路径.svg","C0DD4AB46888C86F01075BAE70B15E61C2F63A7A3CC09199E0B370349407AF13","move; verified byte-identical"
"人生三河-阶段7B线框包\06－护城河计划首页.svg","docs\archive\阶段7B\06－护城河计划首页.svg","71D237B8DF5B9742F1486DA57528174A4E8A6136BE2E184D19FE880929B722FC","move; verified byte-identical"
"人生三河-阶段7B线框包\07－里程碑详情.svg","docs\archive\阶段7B\07－里程碑详情.svg","A19FBA76A7F51F432FC36E1E4F7A9732251E595515E7BE6D75EBF329EFE30F55","move; verified byte-identical"
"人生三河-阶段7B线框包\08－添加成果证明.svg","docs\archive\阶段7B\08－添加成果证明.svg","F93C68641E1940B632887A247DA0FB5E85293715BDE61E621BE43C989C2DCBD8","move; verified byte-identical"
"人生三河-阶段7B线框包\09－三河更新反馈.svg","docs\archive\阶段7B\09－三河更新反馈.svg","5EE94B217625C06FBAD279488B33DED0F0A77C25FFFDBA5551161EC92BCAEB08","move; verified byte-identical"
"人生三河-阶段7B线框包\10－九页总览.svg","docs\archive\阶段7B\10－九页总览.svg","243010AD369A05F61CAEC462152EA5F33116E4D595CAEA9369C1364DD0954F9F","move; verified byte-identical"
"人生三河-阶段7B线框包\11－页面结构说明.md","docs\archive\阶段7B\11－页面结构说明.md","A7853E49615CA7A3A8A4E94BBD21A4CB2B04C42ABF12F1B1C7DF8D36753EC50F","move; verified byte-identical"
"人生三河-阶段7B线框包\12－九页预览.html","docs\archive\阶段7B\12－九页预览.html","EDEA9BF1B3E34769A97B5DD79D67A6C86D282D50865D5E0234D8A2C07A753029","move; verified byte-identical"
"life_rivers_vector_assets\01_main_river_segments.svg","assets\archive\duplicates\life_rivers_vector_assets\01_main_river_segments.svg","6FC5637F75514AAB39A7E463227ED7BCBE92EA63E19E331863BDEA803679C3E5","move; verified byte-identical"
"life_rivers_vector_assets\02_tributaries.svg","assets\archive\duplicates\life_rivers_vector_assets\02_tributaries.svg","F8BD95D2C569C2BF42BD71FCD5BBD953721A4935BC5E80545EE57CBF2AC4F876","move; verified byte-identical"
"life_rivers_vector_assets\03_river_confluence.svg","assets\archive\duplicates\life_rivers_vector_assets\03_river_confluence.svg","071EEFAD1C7BC656413940CE40F6E8E887A1A348A5C8683EC57AF30FF5425BEF","move; verified byte-identical"
"life_rivers_vector_assets\04_river_strength_states.svg","assets\archive\duplicates\life_rivers_vector_assets\04_river_strength_states.svg","5FA92B6E856DDC7757CEF8091B26533C072FA9771926F22F248A964594E3879D","move; verified byte-identical"
"life_rivers_vector_assets\05_milestone_markers.svg","assets\archive\duplicates\life_rivers_vector_assets\05_milestone_markers.svg","155E0D0A6E69177C23F3B51981C4F851D96D3C217A9E320E44AF8DEFDE59DF70","move; verified byte-identical"
"life_rivers_vector_assets\06_evidence_anchors.svg","assets\archive\duplicates\life_rivers_vector_assets\06_evidence_anchors.svg","84BD460700B658C42EABF580D42A6F25B4DB3E3547587010327A47B45BD3B013","move; verified byte-identical"
"life_rivers_vector_assets\07_unexplored_mist.svg","assets\archive\duplicates\life_rivers_vector_assets\07_unexplored_mist.svg","2B7D6585CC4B74F04A82EA8627A90706FC1A7D9A469D7843646F433FC635B5A2","move; verified byte-identical"
"life_rivers_vector_assets\08_future_river_forks.svg","assets\archive\duplicates\life_rivers_vector_assets\08_future_river_forks.svg","99D20B26DE3861E13667148324BDAA4C1322CB2BB2B764F9E083B8757FBDBCEB","move; verified byte-identical"
"life_rivers_vector_assets\09_topographic_terrain.svg","assets\archive\duplicates\life_rivers_vector_assets\09_topographic_terrain.svg","F84C9052D1D0E496F61C390A101F6032C54FA886808E3D08D4CD4DA1F5FBE748","move; verified byte-identical"
"life_rivers_vector_assets\10_transition_elements.svg","assets\archive\duplicates\life_rivers_vector_assets\10_transition_elements.svg","EBF8E6A794DF761155417450321084C899BE8BE52008654F64987E12A06217D7","move; verified byte-identical"
"life_rivers_vector_assets\11_landmarks.svg","assets\archive\duplicates\life_rivers_vector_assets\11_landmarks.svg","4D5FE314E839E3DC08ACCD1ECE7DDEBE053B75BFB2BFA1E7B44E2B16A2531A85","move; verified byte-identical"
"life_rivers_vector_assets\12_clarity_states.svg","assets\archive\duplicates\life_rivers_vector_assets\12_clarity_states.svg","CF8730F5316ACCD957A750611F3A74574250E46A1E52159FA97F606E622BF6A0","move; verified byte-identical"
"life_rivers_vector_assets\palette.json","assets\archive\duplicates\life_rivers_vector_assets\palette.json","A1E2A2D1EB4B01C116E07ED6549C6544C1A4B3A3C7F1DC9E402B3FD204C8881D","move; verified byte-identical"
"life_rivers_vector_assets\README.md","assets\archive\duplicates\life_rivers_vector_assets\README.md","292BF7D6ED603AC3F0031D13BA5F70C3FC4CCEF064DFC69509AD2BCED928F07A","move; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/01-首页.svg","docs\archive\阶段7A\SVG\01-首页.svg","A8D9EC33E5FE2D0D7D99E5F958A1C68864016D14C6B9DD40017F4DB04035A1B7","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/02-三河探索开场.svg","docs\archive\阶段7A\SVG\02-三河探索开场.svg","1D73EE569B765769BE9C54BDA4848E899FC9EC7F75035955F177F51546662F51","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/03-单选模板.svg","docs\archive\阶段7A\SVG\03-单选模板.svg","C0C634A9A9E7E20D873ECDCE1AC18B87FB8A62ED88927056CEA397F4A2898E54","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/04-多选模板.svg","docs\archive\阶段7A\SVG\04-多选模板.svg","83802CC766D7FC8FF1776254A242B1853D9313250519CC0ADCB5FB030D640D8C","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/05-AI 猜测确认.svg","docs\archive\阶段7A\SVG\05-AI 猜测确认.svg","9B126A53E0D0C1EE0BEE9DA49E4C47D67BC7F725A9456777BDC7FFDFC46AAAF5","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/06-AI 理解确认.svg","docs\archive\阶段7A\SVG\06-AI 理解确认.svg","8FE99F0C696E88A32057BBAB318A4DE7B1DD42A1245E75898BB51EBBDEE580F6","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/07-三河类型.svg","docs\archive\阶段7A\SVG\07-三河类型.svg","183344500255335B429BA21F897566981A344137F8B656A979CF22F6F6EBA892","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/08-核心判断.svg","docs\archive\阶段7A\SVG\08-核心判断.svg","D653DF820F48B617F8EA0ED10A67625CB1720D0D58EF837434D588A6395B3658","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/09-我的三河地图.svg","docs\archive\阶段7A\SVG\09-我的三河地图.svg","0675C5199B012B41C680BA871036FB2814D2CE1C88E6CB16BE6E07E806198532","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/10-三河 × 五资本详情.svg","docs\archive\阶段7A\SVG\10-三河 × 五资本详情.svg","E8929B39C2148A4EF97ADBCE4EA3AF76CE940C508F1429135AEC7C10B6F4900D","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/11-关键断点.svg","docs\archive\阶段7A\SVG\11-关键断点.svg","E2D2EC9A1BE43ECD10D678420A1C016F588C8C98D738A00A148BF2584FD8CC99","extract; verified byte-identical"
"人生三河-阶段7A线框包.zip!可导入Figma的SVG/12-类型详解与未来路径预览.svg","docs\archive\阶段7A\SVG\12-类型详解与未来路径预览.svg","B536B6D1D0A36BBFD1420774244964AFEBE14EF955B21469D9769413ED538736","extract; verified byte-identical"
